county,year,ces_score
Los Angeles,2014,52.4409673887772
Los Angeles,2014,52.4068091533946
Los Angeles,2014,52.3828057551332
Los Angeles,2014,52.3818436911441
Los Angeles,2014,52.3448921643736
Los Angeles,2014,52.3252804917189
San Bernardino,2014,52.2908997308499
Riverside ,2014,52.2862937191085
Riverside ,2014,52.2778943300279
Los Angeles,2014,52.2719674519506
Los Angeles,2014,52.223401866127
San Bernardino,2014,52.2067864954295
San Bernardino,2014,52.2008876109904
Riverside ,2014,52.185206953162094
Los Angeles,2014,52.16626353728
San Bernardino,2014,52.157971297566
Los Angeles,2014,52.1174927109706
Riverside ,2014,52.1055169267426
Los Angeles,2014,52.0891665759246
Los Angeles,2014,52.0819476440453
San Bernardino,2014,52.0608952187088
Los Angeles,2014,52.023545015665
Los Angeles,2014,51.9951552839108
Los Angeles,2014,51.9927755223063
San Bernardino,2014,51.9447960517067
Sacramento ,2014,51.902940636696
Los Angeles,2014,51.8997399887392
Los Angeles,2014,51.8914296955223
Los Angeles,2014,51.8841012331795
Los Angeles,2014,51.8714781937067
Los Angeles,2014,51.864256351597696
Los Angeles,2014,51.854878117463294
Los Angeles,2014,51.8391648423852
Los Angeles,2014,51.8338560290667
Los Angeles,2014,51.8149528902597
Los Angeles,2014,51.7756572805451
Los Angeles,2014,51.7698134259041
Los Angeles,2014,51.7654627584732
Los Angeles,2014,51.7471335270436
Los Angeles,2014,51.7139698595144
Los Angeles,2014,51.6990415779555
Los Angeles,2014,51.681733736366496
San Bernardino,2014,51.5548145368811
Los Angeles,2014,51.548651186892
Los Angeles,2014,51.5325380512912
San Bernardino,2014,51.5254979662559
Riverside ,2014,51.498831695212495
Los Angeles,2014,51.4855188179132
Los Angeles,2014,51.4771941373269
Los Angeles,2014,51.4701658065959
Los Angeles,2014,51.4240416893253
Los Angeles,2014,51.4192734228288
Los Angeles,2014,51.4151269124215
San Bernardino,2014,51.3899137404891
Los Angeles,2014,51.3639572883299
Los Angeles,2014,51.343696571458096
Riverside ,2014,51.3358433858799
Los Angeles,2014,51.3343380916101
Los Angeles,2014,51.3234199680077
San Bernardino,2014,51.3037989095472
Los Angeles,2014,51.301487317869
Los Angeles,2014,51.2846300075554
San Bernardino,2014,51.2536922122112
San Bernardino,2014,51.1865245892691
Santa Clara,2014,51.1820228796565
