census_tract,2014_traffic,2019_traffic,2021_traffic,2014_asthma,2019_asthma,2021_asthma,delta_traffic,delta_asthma
6001404502,38.7426718223775,39.9548815641058,10.35,37.046276662093,28.6747288368034,33.8858424725823,-28.3926718223775,-3.1604341895107027
6001404600,30.6723213172009,23.198395788946,10.575,41.4369464887115,22.179279391597092,31.555333998006,-20.0973213172009,-9.8816124907055
6001404700,52.1142572034427,42.7747838074947,12.525,74.62891355868781,74.31741678094998,45.3639082751745,-39.5892572034427,-29.26500528351331
6001404800,33.3291755020581,20.5664870284497,6.3125,77.0986653361606,85.363421019823,81.0319042871386,-27.0166755020581,3.9332389509780086
6001404900,79.85530747162278,78.35568366963278,80.5375,76.2379942621928,81.8850517391846,77.2681954137587,0.6821925283772146,1.0302011515659046
6001405000,85.21890981663958,78.9823286126081,84.1125,68.9908943495073,51.4025682583219,41.7871385842473,-1.1064098166395837,-27.20375576526
6001405100,79.9925159037046,76.0997618749217,81.525,56.6920294374454,55.5915721231767,40.09222333001,1.5324840962954056,-16.5998061074354
6001405200,89.709367593863,79.847098633914,83.0625,80.70350505176499,61.5010597182396,55.7701894317049,-6.646867593863007,-24.933315620060092
6001405301,50.0062367469128,21.3309938588796,17.8,89.2353748284895,92.008477745917,90.4785643070788,-32.20623674691279,1.2431894785893007
6001405302,36.2853935387302,14.3376362952751,15.5375,92.603218161407,80.99987532726588,88.7088733798604,-20.747893538730196,-3.894344781546593
6001405401,27.6412623175752,11.8310565233739,9.725,89.2353748284895,92.008477745917,92.3604187437687,-17.916262317575203,3.125043915279207
6001405402,40.1397031308469,10.5652337385637,10.0375,89.2353748284895,92.008477745917,92.3604187437687,-30.102203130846895,3.125043915279207
6001405500,30.111014095048,9.53753603208422,4.7125,89.2353748284895,92.008477745917,92.3604187437687,-25.398514095048,3.125043915279207
6001405600,75.02806536110769,67.5147261561599,82.35,77.8844954471748,67.4479491335245,53.9007976071785,7.3219346388923015,-23.983697839996303
6001405700,77.98428339777969,77.8293019175335,70.3125,84.3332917550206,59.8927814486972,63.5468594217348,-7.671783397779691,-20.786432333285795
6001405800,28.6391418236248,5.87792956510841,1.2875,89.8590495197705,88.08128662261558,89.531405782652,-27.3516418236248,-0.3276437371184926
6001405901,34.4892104278408,7.432009023687181,11.875,89.41000374204809,91.1981049744421,91.9117647058823,-22.614210427840803,2.501760963834215
6001405902,42.1479356367719,10.2644441659356,9.475,89.2353748284895,92.008477745917,92.3604187437687,-32.672935636771896,3.125043915279207
6001406000,86.1045278782587,87.3041734553202,83.3625,89.3351627790944,90.8365540456302,91.7497507477567,-2.742027878258696,2.4145879686623033
6001406100,84.08382187850819,84.4341396164933,83.9625,94.0875639266559,93.71649420271788,95.4386839481555,-0.12132187850818354,1.3511200214995966
6001406201,42.734189846576,7.519739315703719,9.45,93.96282898839968,94.7388106221169,96.2238285144566,-33.284189846576,2.2609995260569207
6001406202,46.1145066733192,22.158165183607,29.9875,94.3495072969939,94.7388106221169,97.1585244267198,-16.127006673319197,2.8090171297258877
6001406300,23.9366346513658,27.7227722772277,14.2875,94.0750904328302,94.7388106221169,97.1585244267198,-9.6491346513658,3.0834339938895994
6001406400,85.3436447548958,88.2817395663617,83.0125,90.3829362604466,67.3108091260441,83.6615154536391,-2.331144754895803,-6.721420806807501
6001406500,27.391792441062705,41.4337636295275,31.1625,93.226892852688,88.92906121431238,91.5628115653041,3.7707075589372963,-1.664081287383894
6001406601,82.3375327429213,82.4288757989723,87.0125,79.5933641012848,75.42700411420019,72.4202392821535,4.6749672570787055,-7.173124819131303
6001406602,83.9341399526007,87.84308810627901,78.05,79.5559436198079,85.363421019823,81.0319042871386,-5.884139952600705,1.4759606673306962
6001406700,57.4154920793314,37.8117558591302,17.625,77.0986653361606,85.363421019823,74.0653040877368,-39.7904920793314,-3.0333612484237875
6001406800,60.3342896345266,36.1323474119564,42.5125,80.6910315579394,80.4513152973445,69.6161515453639,-17.821789634526596,-11.074880012575491
6001406900,59.1867282025695,50.457450808372,56.3125,82.7990520144693,87.1711756638823,87.425224327019,-2.8742282025694976,4.6261723125496985
6001407000,78.0591243607334,80.5990725654844,79.7875,85.0692278907322,73.99326767236,74.5014955134596,1.7283756392665879,-10.567732377272591
