census_tract,delta_2014_2021
6001441522,-0.8550165993638998
6001441523,-5.1589603059599
6001441524,-1.805638402690601
6001441601,-2.861800712960802
6001441602,5.432049641665298
6001441700,1.2778961216728995
6001441800,-3.0887509085371008
6001441921,-7.303067672646701
6001441923,-1.0666288455793982
6001441924,-4.5152561718409014
6001441925,0.802460578618799
6001441926,-1.0825750849515003
6001441927,4.573380779122402
6001442000,-1.3335119779346805
6001442100,3.1203160531721004
6001442200,-4.370390661656501
6001442301,1.9145925377489057
6001442302,-10.504304240133301
6001442400,-0.15532494460030222
6001442500,-0.9142354657241007
6001442601,-2.0228567087740004
6001442602,-1.3493050234628008
6001442700,-4.0557688014972
6001442800,-1.6087977854208937
6001442900,-5.670024551195596
6001443001,-3.589205061311901
6001443002,2.0518998447817047
6001443102,-3.552266944003801
6001443103,-3.6433185099576306
6001443104,-2.032729503511499
6001443105,4.0228926544589
6001443200,-1.85546355311517
6001443301,2.089855770279801
6001443321,-4.7054602070431955
6001443322,-1.0717550381797007
6001444100,-2.0754200991586984
6001444200,3.012880980489898
6001444301,-2.3221119417733007
6001444302,0.5235900848689994
6001444400,4.6316442843712995
6001444500,9.869969032147797
6001444601,5.6314659230861
6001444602,-0.6207352313679024
6001450101,-3.5994538714723046
6001450102,-2.2721750840295005
6001450200,-3.6480429456195207
6001450300,-4.047864360516199
6001450400,-2.9370163325573024
6001450501,-5.584351039047641
6001450502,-7.9741087116534
6001450601,-4.0968524352353795
6001450602,4.8750593075994
6001450603,1.1751552399382028
6001450604,-1.5303726307934014
6001450605,-1.1404535058642296
6001450606,-4.8242286081131995
6001450607,3.6151027396967024
6001450701,-1.4858748072805605
6001450741,-8.73104290445214
6001450742,-10.033696395795928
6001450743,-2.8057522957501995
6001450744,3.361634255656753
6001450745,6.835006625144402
6001450746,-7.176423749909061
6001450750,-3.1291588398909003
6001450751,-0.1328033715208008
6001450752,1.4330059238521002
6001451101,-0.8839495246178011
6001451102,-6.62403531877179
6001451201,8.93349975792508
6001451202,-3.8576186013302003
6001451300,-3.421694028619699
6001451401,-3.8329654350557973
6001451403,-7.262234043836898
6001451404,-4.4064748912574
6001451501,-3.4098908448057017
6001451503,-10.9750174067944
6001451504,-10.2029586079222
6001451505,-8.23800579533814
6001451506,-7.3471351922629005
6001451601,1.1082451004162
6001451602,-7.728801516251901
6001451701,-11.41371263374651
6001451703,-9.599199964885301
6001451704,-6.488002668968551
6001983200,11.118094155149102
6003010000,2.2506288262226004
6005000101,0.9567912325175989
6005000102,1.747331400596499
6005000200,-5.872654930115299
6005000301,-1.7873103999353965
6005000303,0.9278800661173001
6005000304,4.518986976945797
6005000401,4.833343766886003
6005000402,3.705751061141701
6005000500,7.062124459066201
6007000102,-3.5456473163945983
6007000103,1.6764602132239297
6007000104,-3.2731819966434017
6007000201,-1.289687625912599
6007000202,6.326177873226399
6007000300,-1.620611990615199
6007000401,3.2606546709693003
6007000402,-3.3576904482416
6007000501,-1.1336329836952004
6007000502,6.9027294903527014
6007000601,2.14523500329914
6007000603,10.7462496797785
6007000604,7.217882153011498
6007000700,-0.6779564397990008
6007000800,-0.8614393212164995
6007000901,1.2997239054746927
6007000903,2.694441666539298
6007000904,1.0486645839150999
6007001000,12.892320042164602
6007001100,5.246107267618598
6007001200,4.721710142118297
6007001300,4.929239966825698
6007001400,-7.253024068634799
6007001500,5.3242228090017
6007001600,-8.285619955901849
6007001702,-8.506542000196639
6007001703,-0.0923531314008077
6007001704,-6.820430736643502
6007001800,-0.7272591348831021
6007001900,-2.7644733672360005
6007002000,5.3529240545839
6007002100,2.3177928286046985
6007002200,3.5561321199195035
6007002300,-7.747186967126199
6007002400,7.7799104006316
6007002500,-0.30520591085799964
6007002601,1.9827878014326004
6007002602,3.0212244492254996
6007002700,6.961882119157298
6007002800,11.184363576240898
6007002900,9.6110254383667
6007003001,11.431921939115202
6007003002,9.212928771657491
6007003100,2.9281962321655985
6007003200,6.745861012091098
6007003300,-9.550398033718999
6007003400,-3.8232740370139027
6007003501,1.255791971524502
6007003502,6.9325467622233
6007003600,-0.1555062437144059
6007003700,6.6159953813234935
6009000120,2.594478763676598
6009000121,-0.5154757273970993
6009000122,-2.4642302334841997
6009000210,0.7460993243192995
6009000220,5.4227043318265
6009000300,7.6489817965572975
6009000400,2.33375031041
6009000501,-2.5701224730055596
6009000503,1.6450128308626706
6011000100,3.091128899992995
6011000200,3.3049546134481
6011000300,4.656684564690199
6011000400,-10.7734846662004
6011000500,-0.9805231627544977
6013301000,-0.1737385403988938
6013302005,-4.606866582881196
6013302006,0.6520502247570015
6013302007,-4.5162896120314
6013302008,-1.8888437663739985
6013302009,13.354241537564599
6013302010,1.8152499385822995
6013303102,3.2186293444721983
6013303103,3.350167611041101
6013303201,4.519637067200605
6013303202,7.7695800627266
6013303203,7.583081087160998
6013303204,9.468732537650197
6013303205,-3.624021510109298
6013304001,5.789199028895199
6013304002,-6.8428304429678946
6013304003,-2.8964619458031002
6013304004,-4.365207162745799
6013304005,1.4731408239649735
6013305000,20.423031531634003
6013306002,7.312385780572999
6013306003,15.377625618901998
6013306004,-3.197756665445098
6013307101,-0.3141660819898
6013307102,4.758356484732403
6013307201,0.8089594496257035
6013307202,6.204244229260496
6013307204,1.0997974130499983
6013307205,9.661290644379502
6013308001,9.344228180484698
6013308002,14.821136087988702
6013309000,19.218412683739103
6013310000,10.690400926635299
6013311000,4.631693752819004
6013312000,13.335666591451506
6013313101,2.2538047964961976
6013313102,-2.4104721879853983
6013313103,5.317902448472097
6013313203,-1.9661513910096993
6013313204,7.432047180396701
6013313205,9.539353769897598
6013313206,0.8594731578598029
6013314102,4.520069463284393
6013314103,2.3131524816028985
6013314104,9.0023604844908
6013314200,18.6838506680154
6013315000,15.9220353440281
6013316000,1.1555955975969994
6013317000,5.030249846016201
6013318000,0.12216804915330215
6013319000,-0.8476367039961001
6013320001,-3.003094163493202
6013320003,-5.116668858412
6013320004,7.4837607947630005
6013321101,2.6374508442207993
6013321102,-4.726804113497542
6013321103,-6.35692860794098
6013321200,-7.088513962927102
6013322000,-2.897923319551099
6013323000,-3.221707959362101
6013324001,-1.8390538984614988
6013324002,1.6667189772438
6013325000,1.3355257020139994
6013326000,-7.723278092771679
6013327000,13.302183781479602
6013328000,0.11607847073129918
6013329000,13.174217157378106
6013330000,7.671781955286299
6013331000,5.3361863497102995
6013332000,1.3702015509991003
6013333101,4.1433491526371
6013333102,0.6231128872778999
6013333200,-1.3926415636141947
6013334001,1.3717045870664002
6013334004,1.1374609959650979
6013334006,-4.06799098413355
6013334200,-3.8991477611105303
6013335000,0.6920867352819009
6013336101,5.693532959314602
6013336102,7.259387051307996
6013336201,16.925453207949403
6013336202,4.8424875619962044
6013337100,-7.568606148336796
6013337200,-3.8252472627881
6013337300,-1.7055986155180403
6013338101,4.3184675902917
6013338102,-5.72625560321228
6013338201,-7.0219961253728
6013338203,1.2975173474879806
6013338204,-6.249341414868221
6013338301,-1.6504420687488608
6013338302,-2.3376537108959576
6013339001,8.8045958904911
6013339002,0.6586835278079999
6013340001,0.7861935652646999
6013340002,-2.170155619848078
6013341000,-2.7272151752349307
6013343001,0.1485569372368012
6013343002,-7.77561664040563
6013343003,-1.8488171895974594
6013345101,-2.77565051365187
6013345102,-1.4782289193363702
6013345103,-6.376617034688989
6013345105,-2.2179462725410772
6013345108,-4.060929137546009
6013345111,-1.9544362604405006
6013345112,-1.6344720299138498
6013345113,-3.2055962536308495
6013345114,-5.30494480942755
6013345115,-0.32123468948112954
6013345116,0.0966935342338493
6013345202,-0.5666921457458489
6013345203,-4.350221625606239
6013345204,-3.74931771877507
6013346101,-4.5565835300045805
6013346102,-4.559796369166801
6013346201,-5.975206975517371
6013346203,1.1559550910054401
6013346204,-1.55817524482954
6013347000,-2.37323178851547
6013348000,-4.859294689722271
6013349000,2.2182418102065515
6013350000,0.9591639520359605
6013351101,-4.12279430523588
6013351102,-4.770626683714671
6013351103,-0.39709927598059025
6013351200,-3.7543205524006904
6013352101,-2.4148377836635095
6013352102,-0.98919107581531
6013352201,0.3653745071907597
6013352202,-2.2048052866283196
6013353001,-1.18280388256085
6013353002,-4.57934231485279
6013354001,-3.58693602200496
6013354002,0.2939437065711292
6013355107,7.741180812756806
6013355108,3.2644699030993998
6013355109,1.566737417558599
6013355110,-1.6185136858894005
6013355111,3.0750761554267
6013355112,-5.56521643885878
6013355113,0.03570702370139989
6013355114,-3.6916293083740093
6013355115,1.6963149229028005
6013355116,-4.5178005945174196
6013355117,-0.8723254179128803
6013355200,9.496246234822301
6013355301,-1.5997153442553689
6013355302,-4.283008478423238
6013355304,-3.8278522340098595
6013355306,0.29752225912285013
6013356001,2.2316989991363947
6013356002,-0.08092196791059969
6013357000,2.0475405686546004
6013358000,11.7916024660978
6013359102,6.080390872203701
6013359103,-0.5269045594885
6013359104,0.5847910662950007
6013359105,0.0036650746563005043
6013359202,-4.9322178867253985
6013359203,-7.605595059114002
6013359204,-1.141771531180499
6013360101,0.4446084943506996
6013360102,0.0621917442818507
6013360200,1.0437843258943005
6013361000,5.956890264830211
6013362000,2.351831905687721
6013363000,9.877573692966099
6013364002,1.5051268885091957
6013365002,20.742128486430197
6013365003,9.6495705698181
6013366001,14.236349122997105
6013366002,19.0911909206465
6013367100,10.1564743534869
6013367200,11.171601458475408
6013368001,13.128491222852006
6013368002,2.4521923530713963
6013369001,8.841688141399196
6013369002,7.0194709496971015
6013370000,4.548715719905701
6013371000,4.4705608336184
6013372000,15.205376697137996
6013373000,8.7665517788609
6013374000,5.844943542223696
6013375000,12.253124079811798
6013376000,15.4110565711008
6013377000,15.532479335651104
