census_tract,latitude,longitude,delta_2014_2021
6001409900,37.7619882,-122.1353845,6.875423915632201
6001410000,37.7447566,-122.1332163,2.3332610575643002
6001410100,37.7478642,-122.1535285,6.246341499505906
6001410200,37.7453063,-122.1571742,1.5328380958454986
6001410300,37.7466798,-122.1661407,-3.5598117019743007
6001410400,37.7408161,-122.1621741,0.7098368917210998
6001410500,37.8100197,-122.288956,12.256578999474101
6001420100,37.8947731,-122.2910214,-1.0624759480432502
6001420200,37.8944611,-122.2974624,-1.8294839956760995
6001420300,37.8906102,-122.3182668,-8.781967910268598
6001420400,37.8886213,-122.3256618,-2.7524190501791033
6001420500,37.8867059,-122.2950048,6.2636715461969
6001420600,37.8870336,-122.2870621,-11.25384466815727
6001421100,37.899434,-122.2661928,-1.7423015267800492
6001421200,37.8975481,-122.2752271,-1.2298982558410394
6001421300,37.8911093,-122.2813663,-4.839240675210463
6001421400,37.8883409,-122.270922,-1.1773544662186506
6001421500,37.8920346,-122.2590314,-0.5683841026453802
6001421600,37.8839567,-122.2559829,-5.22991217702958
6001421700,37.8819398,-122.2701843,3.4738598889946894
6001421800,37.8802854,-122.2782006,-3.2240147662417797
6001421900,37.8794799,-122.2896443,3.311229146948399
6001422000,37.8590327,-122.3013426,4.751018338991603
6001422100,37.8733005,-122.2965391,1.5982768052795002
6001422200,37.8728822,-122.2878154,2.5522241612369996
6001422300,37.8740723,-122.2779152,6.047396378800302
6001422400,37.8752396,-122.2695878,3.6344099534245
6001422500,37.8773131,-122.2603183,3.5078862438823
6001422700,37.8679125,-122.2495401,-1.6166744614286017
6001422800,37.8667875,-122.259979,-2.0473216874834996
6001422900,37.8678899,-122.269247,-0.25855601957649554
6001423000,37.8668441,-122.2771352,7.9101472621666
6001423100,37.865807,-122.2863197,3.4087088891086985
6001423200,37.8645164,-122.2936857,13.187396786244495
6001423300,37.8573287,-122.2842021,9.143812697212297
6001423400,37.8583737,-122.275884,-3.1527958605175
6001423500,37.859365,-122.2680467,0.6630131889513997
6001423601,37.8588968,-122.2587175,0.5810733104528918
6001423602,37.8631882,-122.2592723,-0.9205261413388008
6001423700,37.8618413,-122.248923,-4.890788162898289
6001423800,37.8547587,-122.2441385,-3.679693081094979
6001423901,37.8523001,-122.2675177,4.823413964281098
6001423902,37.8547152,-122.2573724,-0.2896846994894986
6001424001,37.8503526,-122.2746683,3.1779137185686004
6001424002,37.8504976,-122.2815989,2.6102283815591996
6001425101,37.8381928,-122.3061755,7.550509120744799
6001425102,37.8400768,-122.2946582,4.546143848663
6001425103,37.8426202,-122.2898443,4.482069259664801
6001425104,37.8326526,-122.2833798,-0.17342497238630372
6001426100,37.8216214,-122.2253292,-5.89428530941626
6001426200,37.824626,-122.2406227,0.8888201375439309
6001427100,37.765116,-122.2309908,-2.1257568871914003
6001427200,37.7847324,-122.2529164,14.375657399188206
6001427300,37.7810489,-122.2662775,4.105217595317303
6001427600,37.7778323,-122.2835979,12.277486650753598
6001427700,37.7680009,-122.2852965,6.651888720983001
6001427800,37.7714922,-122.2690581,1.6037437889268986
6001427900,37.7698045,-122.2582454,1.786659170908802
6001428000,37.7666414,-122.2475404,4.313649733589195
6001428100,37.7589136,-122.2346068,-1.860034071785499
6001428200,37.7533266,-122.2396733,3.0587056436332993
6001428301,37.7334484,-122.2406697,-4.811296746628802
6001428302,37.7439709,-122.249779,-1.6759286658055004
6001428400,37.756593,-122.2563814,-6.988546385525101
6001428500,37.7601324,-122.2593887,-2.273857591450401
6001428600,37.766273,-122.2738461,-3.6126089284133
6001428700,37.7801283,-122.3050028,9.058661640025498
6001430101,37.7272587,-122.0152514,5.280334795448649
6001430102,37.7726562,-122.0747102,-5.75399137393373
6001430200,37.7216743,-122.0615667,-1.803463541575752
6001430300,37.7229094,-122.0837445,-3.087503240004059
6001430400,37.7202531,-122.1010932,-4.05126983329888
6001430500,37.704911,-122.1091519,10.852158694313399
6001430600,37.7041735,-122.0969654,-0.21566879229280111
6001430700,37.7060949,-122.0822257,-1.6740214690525992
6001430800,37.6992244,-122.0650347,9.730707142154298
6001430900,37.6982784,-122.0828322,11.081814629212502
6001431000,37.6929313,-122.0784575,8.268075112470402
6001431100,37.6881143,-122.0672947,-2.664695639824
6001431200,37.6855718,-122.0836768,-0.4725940061157985
6001432100,37.7358429,-122.1466229,3.911789416337097
6001432200,37.7330544,-122.1562452,-0.9225839767797019
6001432300,37.7308826,-122.1656193,-1.2363226831862022
6001432400,37.7097451,-122.1898921,8.521281246559298
6001432501,37.7167153,-122.1661575,6.092456953827103
6001432502,37.7234343,-122.1734869,1.8565431508650008
6001432600,37.7226922,-122.1551539,5.116129004959298
6001432700,37.7270703,-122.1428437,3.3115593275365
6001432800,37.7212241,-122.1245218,-1.4965455517960002
6001433000,37.7158642,-122.1354706,-3.7109577547497956
6001433102,37.7021541,-122.1335017,4.192535962295306
6001433103,37.7093273,-122.139054,-3.6512694345409997
6001433104,37.7142641,-122.1469937,5.298895481995498
6001433200,37.70175,-122.1470769,1.6306374119408034
6001433300,37.6985801,-122.1574574,10.270923385725801
6001433400,37.684528,-122.1689582,-7.763690593153402
6001433500,37.6845009,-122.1553145,5.431397636068198
6001433600,37.6860081,-122.1437942,4.594811138638207
6001433700,37.6876344,-122.1146758,7.717066460168599
6001433800,37.6988143,-122.123482,3.3997556784695995
6001433900,37.6992653,-122.1135398,10.234041279127208
6001434000,37.6923654,-122.1103206,6.958002675956106
6001435102,37.6552403,-122.0458797,-1.79719083457843
6001435103,37.6518042,-121.9830876,-4.615164544157319
6001435104,37.6385981,-122.038971,9.040099057579098
6001435200,37.6874049,-122.0517821,-3.083129398243395
6001435300,37.6807791,-122.064666,-1.6632820470100995
6001435400,37.6739266,-122.0831568,8.714637888223994
6001435500,37.6809369,-122.09333,12.491794321569497
6001435601,37.6746689,-122.1022655,7.6450213316669995
6001435602,37.6819278,-122.1069995,2.3384665226187984
6001435700,37.6786494,-122.1160735,2.6904530988725988
6001435800,37.6793691,-122.1296018,2.8018542261956014
6001435900,37.6724681,-122.147305,-1.756165964769096
6001436000,37.6691812,-122.1375262,4.868681946497201
6001436100,37.6718054,-122.1235777,0.39699440518749896
6001436200,37.6685048,-122.11212,-0.8242017661909955
6001436300,37.666274,-122.0917198,2.7580701131782988
6001436401,37.6715227,-122.0650918,2.1847245806942013
6001436402,37.6668495,-122.0404785,-8.56494002781084
6001436500,37.6586897,-122.0691461,5.759093878627301
6001436601,37.6567907,-122.0788937,4.9373122564250025
6001436602,37.65183,-122.0851818,7.598810039820403
6001436700,37.6619708,-122.1005196,-2.2804280225028
6001436800,37.6535732,-122.0944503,10.692606265037298
6001436900,37.6603503,-122.1097202,-4.1222697118703024
6001437000,37.6471694,-122.1015827,10.994265549694099
6001437101,37.6059048,-122.126873,-1.0903329396460961
6001437102,37.6298655,-122.1002746,6.854769216866902
6001437200,37.6431726,-122.1115983,-2.7701500247177933
6001437300,37.6362205,-122.0930122,5.848749316405797
6001437400,37.6428275,-122.0876478,0.7031441117471999
6001437500,37.644034,-122.0793899,-0.2003116451422997
6001437600,37.6353608,-122.0804835,0.8425980539687004
6001437701,37.6348665,-122.0697491,7.379648396706401
6001437702,37.638444,-122.0734492,-0.2990648665764013
6001437800,37.6431464,-122.0686965,1.2949768621859015
6001437900,37.6428259,-122.0613101,4.282331805240599
6001438000,37.619128,-122.0285144,7.613422326817002
6001438100,37.6181516,-122.038949,6.651249056404499
6001438201,37.6261949,-122.0764254,6.329463274312598
6001438203,37.6155886,-122.0573943,0.915741812839002
6001438204,37.6270608,-122.0596258,1.2393671417665004
6001438300,37.6282241,-122.088523,10.534079987014398
6001438400,37.6184511,-122.082604,3.5100985065597996
6001440100,37.6163011,-121.9815046,4.738126137627798
6001440200,37.6003676,-122.0225206,14.052059148431798
6001440301,37.6011866,-122.0427542,0.7183271480699958
6001440304,37.586873,-122.0766119,0.3904757137893
6001440305,37.5773806,-122.0746719,-3.65757746088919
6001440306,37.5849858,-122.0683607,-1.7341721834316992
6001440307,37.5911419,-122.0486869,-2.3997670170462975
6001440308,37.5893439,-122.0278186,7.1780395557874
6001440331,37.5982227,-122.0833307,2.360313714502304
6001440332,37.5819265,-122.0858459,-1.4459615690606
6001440333,37.6053389,-122.0738117,6.401937489959604
6001440334,37.5937913,-122.0648512,-1.4954274444364017
6001440335,37.5913508,-122.0122841,-2.015463074814594
6001440336,37.5811633,-122.0175013,1.0151198822774
6001441100,37.5852993,-121.9620573,0.19439339103660203
6001441200,37.5780625,-121.9910071,-0.38701604346419316
6001441301,37.5717252,-122.0026581,1.3492270196073015
6001441302,37.5693426,-122.0194346,-5.741186850232479
6001441401,37.5735681,-122.0376753,-0.027761420778400492
6001441402,37.5823791,-122.0398734,-4.8124080272701
6001441501,37.5699748,-122.0724418,-5.07519682679549
6001441503,37.4731786,-121.9444248,-2.246829133542601
6001441521,37.5729294,-122.0532609,-1.2226391018835
6001441522,37.5845579,-122.0572528,-0.8550165993638998
6001441523,37.5647793,-122.0464869,-5.1589603059599
6001441524,37.5594781,-122.0506927,-1.805638402690601
6001441601,37.5635007,-122.0305372,-2.861800712960802
6001441602,37.55696,-122.0212345,5.432049641665298
6001441700,37.5532064,-122.0116314,1.2778961216728995
6001441800,37.5591933,-121.9915834,-3.0887509085371008
6001441921,37.5424223,-121.9678075,-7.303067672646701
6001441923,37.5509731,-121.9850086,-1.0666288455793982
6001441924,37.5647659,-121.9732494,-4.5152561718409014
6001441925,37.5500775,-121.9630732,0.802460578618799
6001441926,37.5408003,-121.9787103,-1.0825750849515003
6001441927,37.5465021,-121.976577,4.573380779122402
6001442000,37.5592488,-121.9351067,-1.3335119779346805
6001442100,37.5483239,-121.9498322,3.1203160531721004
6001442200,37.5345605,-121.9421767,-4.370390661656501
6001442301,37.5278226,-121.9615164,1.9145925377489057
6001442302,37.5362999,-121.9600524,-10.504304240133301
6001442400,37.5313805,-121.9737794,-0.15532494460030222
6001442500,37.537144,-121.9871471,-0.9142354657241007
6001442601,37.544306,-121.9976615,-2.0228567087740004
6001442602,37.5481818,-122.0049883,-1.3493050234628008
6001442700,37.5371537,-122.0081115,-4.0557688014972
6001442800,37.5293622,-121.9931032,-1.6087977854208937
6001442900,37.5183894,-121.9748246,-5.670024551195596
6001443001,37.5184218,-121.9515237,-3.589205061311901
6001443002,37.5168344,-121.9605916,2.0518998447817047
6001443102,37.5071611,-121.9271478,-3.552266944003801
6001443103,37.5273674,-121.9027992,-3.6433185099576306
6001443104,37.5313765,-121.9266869,-2.032729503511499
6001443105,37.5218333,-121.9322534,4.0228926544589
6001443200,37.4871497,-121.8964116,-1.85546355311517
6001443301,37.4707218,-121.9128679,2.089855770279801
6001443321,37.4902675,-121.9242947,-4.7054602070431955
6001443322,37.482983,-121.9198352,-1.0717550381797007
6001444100,37.550978,-122.0361606,-2.0754200991586984
6001444200,37.5425433,-122.045728,3.012880980489898
6001444301,37.536519,-122.0571016,-2.3221119417733007
6001444302,37.5125267,-122.0473856,0.5235900848689994
6001444400,37.5362317,-122.0353376,4.6316442843712995
6001444500,37.5342611,-122.0273559,9.869969032147797
6001444601,37.5270492,-122.0162378,5.6314659230861
6001444602,37.5122564,-122.0030673,-0.6207352313679024
6001450101,37.7050938,-121.8851034,-3.5994538714723046
6001450102,37.7208265,-121.8911928,-2.2721750840295005
6001450200,37.7224552,-121.9154401,-3.6480429456195207
6001450300,37.7106983,-121.9177415,-4.047864360516199
6001450400,37.7126931,-121.9324146,-2.9370163325573024
6001450501,37.7068544,-121.9419571,-5.584351039047641
6001450502,37.714448,-121.9692968,-7.9741087116534
6001450601,37.653163,-121.930798,-4.0968524352353795
6001450602,37.6706482,-121.9128234,4.8750593075994
6001450603,37.6888608,-121.9106268,1.1751552399382028
6001450604,37.6811899,-121.8865529,-1.5303726307934014
6001450605,37.6721031,-121.8820197,-1.1404535058642296
6001450606,37.6694679,-121.8997998,-4.8242286081131995
6001450607,37.657232,-121.8874736,3.6151027396967024
6001450701,37.5511338,-121.8054596,-1.4858748072805605
6001450741,37.6602817,-121.8647522,-8.73104290445214
6001450742,37.6673926,-121.8275908,-10.033696395795928
6001450743,37.6930366,-121.8923831,-2.8057522957501995
6001450744,37.6969336,-121.8650777,3.361634255656753
6001450745,37.6824862,-121.8526518,6.835006625144402
6001450746,37.6736928,-121.8685809,-7.176423749909061
6001450750,37.7053403,-121.8611155,-3.1291588398909003
6001450751,37.7163164,-121.8430342,-0.1328033715208008
6001450752,37.718917,-121.8238089,1.4330059238521002
6001451101,37.6396925,-121.6633595,-0.8839495246178011
6001451102,37.6506604,-121.7864954,-6.62403531877179
6001451201,37.7129066,-121.7418149,8.93349975792508
6001451202,37.7347438,-121.7689116,-3.8576186013302003
6001451300,37.6896396,-121.8156491,-3.421694028619699
6001451401,37.6959861,-121.7629422,-3.8329654350557973
6001451403,37.6912085,-121.7842334,-7.262234043836898
6001451404,37.6852748,-121.7803522,-4.4064748912574
6001451501,37.6733434,-121.7369701,-3.4098908448057017
6001451503,37.6849518,-121.7489971,-10.9750174067944
6001451504,37.6979083,-121.7322556,-10.2029586079222
6001451505,37.6894445,-121.7246715,-8.23800579533814
6001451506,37.6833516,-121.7291862,-7.3471351922629005
6001451601,37.6683795,-121.7607445,1.1082451004162
6001451602,37.6712489,-121.7756214,-7.728801516251901
6001451701,37.6721084,-121.787947,-11.41371263374651
6001451703,37.6672948,-121.8009991,-9.599199964885301
6001451704,37.6621232,-121.7900626,-6.488002668968551
6001983200,37.7959455,-122.277268,11.118094155149102
6003010000,38.6176096,-119.7989986,2.2506288262226004
6005000101,38.4649441,-120.5707489,0.9567912325175989
6005000102,38.5394172,-120.2562561,1.747331400596499
6005000200,38.4852152,-120.7448948,-5.872654930115299
6005000301,38.457356,-120.9500222,-1.7873103999353965
6005000303,38.3544187,-120.9288239,0.9278800661173001
6005000304,38.2814338,-120.9220547,4.518986976945797
6005000401,38.3970536,-120.7589689,4.833343766886003
6005000402,38.3930097,-120.6621779,3.705751061141701
6005000500,38.3175704,-120.7391956,7.062124459066201
6007000102,39.7578665,-121.8235198,-3.5456473163945983
6007000103,39.7680605,-121.8185603,1.6764602132239297
6007000104,39.7670771,-121.8375293,-3.2731819966434017
6007000201,39.7754009,-121.8638042,-1.289687625912599
6007000202,39.7638564,-121.849496,6.326177873226399
6007000300,39.7638851,-121.8641991,-1.620611990615199
6007000401,39.7660786,-121.894685,3.2606546709693003
6007000402,39.7558816,-121.8785043,-3.3576904482416
6007000501,39.7376442,-121.8867963,-1.1336329836952004
6007000502,39.7297355,-121.8617233,6.9027294903527014
6007000601,39.744651,-121.864319,2.14523500329914
6007000603,39.7368942,-121.8495875,10.7462496797785
6007000604,39.7358332,-121.8573274,7.217882153011498
6007000700,39.7420778,-121.8390356,-0.6779564397990008
6007000800,39.7502541,-121.8161641,-0.8614393212164995
6007000901,39.7203605,-121.7616429,1.2997239054746927
6007000903,39.726274,-121.7982097,2.694441666539298
6007000904,39.7464744,-121.7959706,1.0486645839150999
6007001000,39.7293637,-121.8344873,12.892320042164602
6007001100,39.711661,-121.8514478,5.246107267618598
6007001200,39.6982253,-121.8142432,4.721710142118297
6007001300,39.7192136,-121.8128247,4.929239966825698
6007001400,39.7860101,-121.9334044,-7.253024068634799
6007001500,39.5969309,-121.8415821,5.3242228090017
6007001600,39.9107695,-121.6693104,-8.285619955901849
6007001702,39.8274126,-121.6191977,-8.506542000196639
6007001703,39.8262662,-121.6019972,-0.0923531314008077
