geoid,delta_2014_2021
06013345113,-3.2055962536308495
06013345114,-5.30494480942755
06013345115,-0.32123468948112954
06013345116,0.0966935342338493
06013345202,-0.5666921457458489
06013345203,-4.350221625606239
06013345204,-3.74931771877507
06013346101,-4.5565835300045805
06013346102,-4.559796369166801
06013346201,-5.975206975517371
06013346203,1.1559550910054401
06013346204,-1.55817524482954
06013347000,-2.37323178851547
06013348000,-4.859294689722271
06013349000,2.2182418102065515
06013350000,0.9591639520359605
06013351101,-4.12279430523588
06013351102,-4.770626683714671
06013351103,-0.39709927598059025
06013351200,-3.7543205524006904
06013352101,-2.4148377836635095
06013352102,-0.98919107581531
06013352201,0.3653745071907597
06013352202,-2.2048052866283196
06013353001,-1.18280388256085
06013353002,-4.57934231485279
06013354001,-3.58693602200496
06013354002,0.2939437065711292
06013355107,7.741180812756806
06013355108,3.2644699030993998
06013355109,1.566737417558599
06013355110,-1.6185136858894005
06013355111,3.0750761554267
06013355112,-5.56521643885878
06013355113,0.03570702370139989
06013355114,-3.6916293083740093
06013355115,1.6963149229028005
06013355116,-4.5178005945174196
06013355117,-0.8723254179128803
06013355200,9.496246234822301
06013355301,-1.5997153442553689
06013355302,-4.283008478423238
06013355304,-3.8278522340098595
06013355306,0.29752225912285013
06013356001,2.2316989991363947
06013356002,-0.08092196791059969
06013357000,2.0475405686546004
06013358000,11.7916024660978
06013359102,6.080390872203701
06013359103,-0.5269045594885
06013359104,0.5847910662950007
06013359105,0.0036650746563005043
06013359202,-4.9322178867253985
06013359203,-7.605595059114002
06013359204,-1.141771531180499
06013360101,0.4446084943506996
06013360102,0.0621917442818507
06013360200,1.0437843258943005
06013361000,5.956890264830211
06013362000,2.351831905687721
06013363000,9.877573692966099
06013364002,1.5051268885091957
06013365002,20.742128486430197
06013365003,9.6495705698181
06013366001,14.236349122997105
06013366002,19.0911909206465
06013367100,10.1564743534869
06013367200,11.171601458475408
06013368001,13.128491222852006
06013368002,2.4521923530713963
06013369001,8.841688141399196
06013369002,7.0194709496971015
06013370000,4.548715719905701
06013371000,4.4705608336184
06013372000,15.205376697137996
06013373000,8.7665517788609
06013374000,5.844943542223696
06013375000,12.253124079811798
06013376000,15.4110565711008
06013377000,15.532479335651104
06013378000,8.1534148902707
06013379000,9.828639154483902
06013380000,11.9111012256258
06013381000,10.718082351459202
06013382000,12.551192006168804
06013383000,14.915199393254696
06013384000,4.380414748946331
06013385100,-1.6108238758694107
06013385200,0.07459498475638959
06013386000,-0.7655104012388954
06013387000,9.8597025544716
06013388000,-1.2068958951716997
06013389100,1.8760534084250011
06013389200,-3.209166738617
06013390100,-3.733458054941689
06013390200,-2.0100386806116104
06013391000,-1.1448807736611402
06013392000,-1.30964672221475
06013392200,15.597296666473799
06013392300,-1.3086644741482978
06015000101,20.2461733170898
06015000102,15.3224566983686
06015000104,12.5373205180972
06015000105,9.590069417009701
06015000201,9.77037321274671
06015000202,7.096541652768801
06015000203,-1.1489378729289008
06017030200,-0.2594033889669003
06017030301,5.5268343568058
06017030302,6.2806592759521
06017030401,13.988802394939658
06017030402,13.6296538349509
06017030502,-0.7848149205905504
06017030504,-1.0572143478609188
06017030505,-3.7142742197366996
06017030601,-2.71646896842603
06017030602,-2.4443124564974994
06017030603,0.5399577804949001
06017030701,1.4749567086580198
06017030704,-6.637146942586899
06017030706,-1.7496894579332003
06017030709,-1.3138895002114799
06017030710,-1.4025739829142996
06017030801,-2.2825333188850303
06017030803,0.010777608453517828
06017030804,0.4376158355862003
06017030807,-3.7044298941325087
06017030808,-0.011185070328480151
06017030809,-1.8003003515957499
06017030810,3.69457424101633
06017030901,-1.4279543535193078
06017030902,-2.8640435270015896
06017031000,5.474043311158802
06017031100,-2.1074129246278943
06017031200,2.6564782112792003
06017031301,-0.23515974227500003
06017031302,-1.2287233690564996
06017031402,-1.23358968785619
06017031404,-5.003252361951451
06017031405,-1.43258971423068
06017031406,-1.7771278009828997
06017031502,-8.4268405422492
06017031503,-6.182074993487309
06017031504,0.5733545058174006
06017031600,10.6761075738178
06017031700,0.8359978463836999
06017031800,-1.66230807768188
06017031900,1.2887041548965108
06017032000,-3.889645312790928
06019000100,-1.0725734905175983
06019000200,-2.7233270865535104
06019000300,-7.308557280569303
06019000400,0.3249912703868887
06019000501,-20.1876475267211
06019000502,-18.807184496375697
06019000600,-18.50726931874921
06019000700,10.29101280209629
06019000800,-5.819385780107197
06019000901,-7.655017968664396
06019000902,-4.581102506977487
06019001000,3.9004605602613083
06019001100,3.9673824285666086
06019001201,-0.48811780684148687
06019001202,9.450839081253505
06019001301,6.748648904474493
06019001303,-1.8816042611524963
06019001304,-10.79348869448878
06019001407,-7.052035463942197
06019001408,-23.517468585303497
06019001409,-5.881976675573103
06019001410,-12.925715258487998
06019001411,-6.540242468041605
06019001412,-7.774273565773598
06019001413,-5.678077663052697
06019001414,1.1358966077917003
06019001500,-13.353184666473709
06019001600,-0.13841351616819253
06019001700,-4.628959106458993
06019001800,-0.16877735303770436
06019001900,7.208575584612802
06019002000,-2.378150167950295
06019002100,-0.0790014560291965
06019002200,-1.5170304424935992
06019002300,2.8434416919713073
06019002400,-7.131405012628704
06019002501,-5.4642851766855
06019002502,-0.48452829356330085
06019002601,-5.157939520552901
06019002602,-3.473950130087296
06019002701,-8.922575053709103
06019002702,-5.959910165737696
06019002800,-3.838979271345899
06019002903,-14.241986033883798
06019002904,-14.438646458955894
06019002905,-6.326578251601099
06019002906,-8.562363534113096
06019003001,-1.1002651499669014
06019003003,-6.8489684408949
06019003004,-0.6866457410974007
06019003102,2.8376134110623
06019003103,-17.237182228185098
06019003104,-0.775668062469201
06019003201,3.4002692307304017
06019003202,-1.9594599027970006
06019003301,-0.3129651214595057
06019003302,-5.366945365070002
06019003400,4.147470743952802
06019003500,-3.4049304116198016
06019003600,-13.687604339378701
06019003701,6.573984671083501
06019003702,4.567370667056203
06019003803,-0.6279454183984967
06019003804,-0.17908711300890445
06019003805,9.2927417141481
06019003807,-5.937216072693495
06019003808,-8.535547113280693
06019003809,9.419615497204298
06019003810,-3.2359927660594003
06019003900,-20.550277637195798
06019004001,9.496700066049499
06019004002,10.1067007451594
06019004100,-8.841396353054101
06019004205,-9.456315447502895
06019004207,0.11692674662770486
06019004208,-5.708529959326601
06019004210,-0.37509102542940553
06019004211,4.220270888333705
06019004212,1.7226179085458995
06019004213,-2.4095832789084
06019004214,-4.8025166944643
06019004215,4.646689701269398
06019004216,3.2373939914665044
06019004301,-7.675984613726001
06019004302,-0.7995318961385003
06019004303,-5.696603110778998
06019004404,-2.5366812076535936
06019004405,2.3117385018238004
06019004406,-15.886498375111604
06019004408,-8.621345450593097
06019004409,5.3981341849810995
06019004503,-2.7830507110352976
06019004504,-12.149253448888196
06019004505,-6.717117511230896
06019004506,-6.452298915475701
06019004601,-15.888891527070196
06019004602,-3.7287205757407023
06019004701,-9.0872366236771
06019004703,-4.213419048153902
06019004704,-0.1605077999129989
06019004801,-10.991438093945398
06019004802,-2.006189217876603
06019004901,-15.424560081191501
06019004902,-12.9192180688698
06019005000,-4.013304305040094
06019005100,-4.021409588500994
06019005202,5.2602940235180995
06019005203,7.014067268461105
06019005204,2.7435896794686983
06019005301,2.908333187864301
06019005302,0.9424653581445028
06019005304,1.2066141586001962
06019005305,-1.6926417791963004
06019005403,3.196138459518103
06019005405,0.4207293781732986
06019005406,-8.0605346020387
06019005407,-14.4570434019079
06019005408,8.419765941842599
06019005409,-1.635304169920495
06019005410,-5.946846190704697
06019005503,-15.271207749234371
06019005504,-1.1131325475502987
06019005505,-1.342307537757101
06019005507,-0.8273355901479
06019005508,-5.179529044037741
06019005509,-6.4815267400249965
06019005510,-0.43161208479130053
06019005512,-0.20779290971169928
06019005513,-5.7487361910151
06019005514,-6.433778562197295
06019005515,-3.2565570074898
06019005516,2.5175552385627995
06019005517,-0.12165305252599978
06019005518,-4.179599067034291
06019005520,-5.697824931455759
06019005522,3.6637960282915794
06019005524,-1.8631315399433994
06019005525,-13.214740029381202
06019005602,1.8085247361189047
06019005605,-14.3551593515269
06019005606,-6.0064683140877015
06019005607,-4.418537178844794
06019005608,-16.0773430529758
06019005701,-1.5542184191657
06019005702,-0.4158921438801997
06019005703,0.8506592273677
06019005704,0.4924854565717993
06019005801,-4.769383703530401
06019005802,-8.754570876122601
06019005804,1.4095385270604979
06019005805,-13.026134624359798
06019005904,-12.981541942143298
06019005905,-11.476298476471602
06019005906,-5.972955341517501
06019005907,-0.2790071090272015
06019005909,-7.235975858734095
06019005911,-14.206813601416899
06019005912,-4.926733856230399
